image,text,source,split
data/raw/augmented/urdu_001_aug2_brightness.png,پاکستان زندہ باد,augmented_brightness,train
data/raw/newspaper/Screenshot 2026-07-01 182040.png,ان ك مطابق اس موقع يرزورديا كيا كه ايران كا دفاع ميزائل اور _ ذرون طاقت قومر سلامتى ك سرخ لكيرل اوريه معامل كىس صورت مذاكرات ك لي بيش نهيل كيا جا سكتا,manual_screenshot,train
data/raw/synthetic/urdu_044.png,پاکستان کا قیام چودہ اگست انیس سو سینتالیس کو ہوا,synthetic,train
data/raw/augmented/urdu_033_aug2_blur.png,صاف پانی پینا صحت کے لیے اہم ہے,augmented_blur,train
data/raw/other/utrset_006.jpg,مقدمات سے نجات مل سکتی ہے، نکاح کے ثبوت اورک دین مہر کے تعین میں سہولت ہوتی,utrset_real,train
data/raw/newspaper/Screenshot 2026-07-01 151453.png,امريكى ريورث ن بهارت كخلاف جن مي باكستان كى جيت يرمهر لكادىء وزيراعظم فيلد مارشل كى قيادت مي بلاخوف مشاورت س بهربور فيصل كيه افواج باكستان كى دليرى اور فتوحات ك باعث باكستان كا دنيا مير وقار بلند سواء شهباز شريف كا تقريب  _ خطاب,manual_screenshot,train
data/raw/newspaper/Screenshot 2026-07-01 181521.png,لياقت على كا كهر بادشاب مسجد س قريب بادامى باغ ك علاق مير تهاء سووه به 9بار جا بهنج - تب وه اين ايف ايس س امتحان ك نتائج ك منتظرته -,manual_screenshot,train
data/raw/augmented/urdu_043_aug2_brightness.png,قرآن مجید مسلمانوں کی مقدس کتاب ہے,augmented_brightness,train
data/raw/other/utrset_010.jpg,کے لیے غیر ضروری تسلیم کرتے ہوئے اس حیثیت سے یہ مسئلہ زیر بحث آسکتاہے،,utrset_real,train
data/raw/augmented/urdu_007_aug2_rotation.png,محنت کبھی رائیگاں نہیں جاتی,augmented_rotation,train
data/raw/augmented/urdu_049_aug2_rotation.png,یہاں پارکنگ منع ہے,augmented_rotation,train
data/raw/other/utrset_052.jpg,منظور کرنا تقریباً ناممکن ہے، اس بناء پر اگر کوئی صورت ممکن ہے تووہ یہ ہے کہ مسلمان,utrset_real,train
data/raw/newspaper/Screenshot 2026-07-01 182139.png,ياد رهء كه 21 مئر 2008 ك معابد ك تحت دونو ممالك بر سال يكم جنورى اور يكم جولائر كو ايس فهرستين ايك دوسر كو _فرا٢م كرن ك يابند لي -,manual_screenshot,train
data/raw/books/book_007.png,صبر اور استقامت سے بڑے سے بڑے مسئلے کا حل نکل آتا ہے۔ ہمت نہیں ہارنی چاہیے۔,books_synthetic,train
data/raw/augmented/urdu_036_aug1_rotation.png,موبائل فون نے دنیا کو ایک گاؤں بنا دیا,augmented_rotation,train
data/raw/signboards/sign_003.png,براہ کرم قطار میں کھڑے ہوں,signboards_synthetic,train
data/raw/synthetic/urdu_026.png,شعر و ادب کا سفر جاری ہے,synthetic,train
data/raw/augmented/urdu_006_aug2_brightness.png,دوستی ایک قیمتی رشتہ ہے,augmented_brightness,train
data/raw/augmented/urdu_044_aug1_brightness.png,پاکستان کا قیام چودہ اگست انیس سو سینتالیس کو ہوا,augmented_brightness,train
data/raw/newspaper/Screenshot 2026-07-01 181605.png,كراص  لل كوئنه ك سيرك لي  نكلن وال_ على مرتضن جميل ن شايد كبه تصور به نهير كيا بوكا كه اليد اوردو بينيو ك ساته خوشيو س بهربوريه سفران ك زند2 ك اختتام رر ختم بو2ا .,manual_screenshot,train
data/raw/augmented/urdu_045_aug1_brightness.png,بسم اللہ الرحمٰن الرحیم,augmented_brightness,train
data/raw/augmented/urdu_047_aug2_blur.png,خطرہ ہائی وولٹیج,augmented_blur,train
