image,text,source,split
data/raw/augmented/urdu_0171_aug1_brightness.png,یہ ایک تاریخی کامیابی تھی,augmented_brightness,train
data/raw/augmented/urdu_0395_aug3_blur.png,غزل: دو مصرعوں پر مشتمل مکمل، بامعنی اور جداگانہ اشعار کی لڑی,augmented_blur,train
data/raw/other/utrset_164.jpg,قوّلوں کو کیا نثبت ہے؟,utrset_real,train
data/raw/augmented/urdu_0491_aug1_blur.png,ان جن پدوں میں کرو، پانچال، کوشل اور وِدیہ مملکتیں ممتاز ہیں,augmented_blur,train
data/raw/augmented/urdu_0043_aug1_blur.png,اس مطالبے کے تحت تحریک پاکستان وجود میں آئی,augmented_blur,train
data/raw/augmented/urdu_0320_aug3_rotation.png,ہندو اردو استعمال کرتے ہیں,augmented_rotation,train
data/raw/synthetic/urdu_0487.png,اثریاتی تناظر میں ہند,synthetic,train
data/raw/augmented/urdu_0294_aug3_blur.png,پہلے اسے ہندوی، ہندی اور ہندوستانی کے نام سے جانا جاتا تھا,augmented_blur,train
data/raw/augmented/urdu_0229_aug1_rotation.png,دولت مشترکہ کے رکن ممالک,augmented_rotation,train
data/raw/signboards/sign_094.png,جنوب ایشیائی ممالک,signboards_synthetic,train
data/raw/augmented/urdu_0078_aug1_blur.png,17 اگست 2018ء کو عمران خان 176 ووٹ حاصل کر کے بائیسویں وزیر اعظم پاکستان بن گئے,augmented_blur,train
data/raw/synthetic/urdu_0462.png,اس نوع کی رنگا رنگی افریقا کے بعد جنوبی ایشیا ہی میں پائی جاتی ہے,synthetic,train
data/raw/augmented/urdu_0530_aug3_rotation.png,چنانچہ سکندر کو پنجاب اور سندھ کے میدانوں سے واپس لوٹنا پڑا,augmented_rotation,train
data/raw/synthetic/urdu_0557.png,پَتو پاٹّو اوسط لمبائی کی دس نظموں کا مجموعہ ہے اور سنگم ادب کا حصہ سمجھا جاتا ہے,synthetic,train
data/raw/other/utrset_091.jpg,ضیاء الملک ملّا رموزیؔ کے اُن مزاحیہ مضامین کامجموعہ ہے جوموقت الشیوع رسائل میں شائع ہوچکے ہیں۔,utrset_real,train
data/raw/augmented/urdu_0251_aug2_blur.png,(سبط حسن، ماضی کے مزار,augmented_blur,train
data/raw/augmented/urdu_0069_aug1_blur.png,1993ء میں یہ حکومت بھی برطرف ہو گئی,augmented_blur,train
data/raw/synthetic/urdu_0171.png,یہ ایک تاریخی کامیابی تھی,synthetic,train
data/raw/other/utrset_007.jpg,دوسرا پہلو یہ ہے کہ چونکہ اس اندراج میں بہت سی مصلحتیں ہیں، اس سے بڑی حدتک,utrset_real,train
data/raw/books/book_059.png,اس حکومت کے آخری وقت میں سیاسی اور فوجی حلقوں میں کشیدگی بڑھ گئی اور اس کا نتیجہ یہ نکلا کہ 1999ء میں دوبارہ فوجی حکومت آ گئی,books_synthetic,train
data/raw/other/utrset_198.jpg,انھوں نے ڈراما لکھتے وقت اس بات کوپیش نظر رکھکر کہ یہ ایسا ہوکہ کوئی کمپنی اور وہ,utrset_real,train
data/raw/synthetic/urdu_0037.png,پاکستان کی تاریخ فوجی آمریت، سیاسی عدم استحکام اور پڑوسی ملک سےجھگڑوں پر مشتمل ہے,synthetic,train
data/raw/augmented/urdu_0080_aug1_brightness.png,پاکستان کا اعلیٰ اساسی قانون آئین پاکستان کہلاتا ہے,augmented_brightness,train
data/raw/augmented/urdu_0438_aug1_brightness.png,آندھرا پردیش کی زبانیں,augmented_brightness,train
data/raw/augmented/urdu_0314_aug2_brightness.png,اور مذہبی سیاق و سباق,augmented_brightness,train
data/raw/augmented/urdu_0510_aug1_brightness.png,وجی مہا جن پد کے تخت اقتدار پر لچھوی سب سے معروف قبیلہ گذرا ہے,augmented_brightness,train
data/raw/augmented/urdu_0018_aug1_blur.png,اس علم کا آغاز بطور سائنس مصر و یونان میں ہوا,augmented_blur,train
data/raw/synthetic/urdu_0258.png,افکار ابن خلدون، 75 تا79),synthetic,train
data/raw/augmented/urdu_0429_aug2_rotation.png,جموں و کشمیر کی زبانیں,augmented_rotation,train
data/raw/augmented/urdu_0190_aug1_rotation.png,قومی نعرہ - پاکستان کا مطلب کیا؟ لَآ اِلٰہَ اِلَّا اللہُ,augmented_rotation,train
data/raw/augmented/urdu_0332_aug1_blur.png,اردو کو 1947ء میں پاکستان کی نئی ریاست کے لیے اتحاد کے طور پر منتخب کیا گیا تھا,augmented_blur,train
data/raw/other/utrset_138.jpg,غلط فہمی ہوئی۔ اور منیجرصاحب نے اس خیال سے کہ پرچہ وقت پرشائع کرسکیں دوبارہ صحیح طباعت سے گریز,utrset_real,train
data/raw/augmented/urdu_0185_aug1_brightness.png,قومی لباس - شلوار قمیض، جناح کیپ، شیروانی (سردیوں میں),augmented_brightness,train
data/raw/augmented/urdu_0028_aug2_blur.png,بنیادی موضوع کے مقالہ جات,augmented_blur,train
data/raw/augmented/urdu_0527_aug3_rotation.png,نند سلطنت اور سکندر کی مہم,augmented_rotation,train
data/raw/synthetic/urdu_0042.png,"""پاکستان کا مطلب کیا؟ لَآ اِلٰہَ اِلَّا اللہُ"" اس تحریک کا مقبول عام نعرہ تھا",synthetic,train
data/raw/augmented/urdu_0047_aug2_rotation.png,ریاست بہاولپور کے نواب صادق محمد خان پنجم نے اس وقت پاکستان کی مالی مدد کی,augmented_rotation,train
data/raw/augmented/urdu_0392_aug2_rotation.png,اردو کی روایات میں کئی اصناف ہیں جن میں غزل نمایاں ترین حیثیت کی حامل ہے,augmented_rotation,train
data/raw/augmented/urdu_0246_aug2_blur.png,یہی وجہ ہے تاریخ اتنی قدیم ہے کہ جتنی تحریر,augmented_blur,train
data/raw/augmented/urdu_0531_aug1_blur.png,بر صغير سے سکندر اعظم کے جانے کے بعد نند سلطنت کی بساط الٹ گئی اور موريا دور کا آغاز ہوا,augmented_blur,train
data/raw/augmented/urdu_0573_aug2_blur.png,پشیہ متر شونگ نے 36 برس حکومت کی,augmented_blur,train
data/raw/augmented/urdu_0264_aug2_rotation.png,دور قديم کی تاريخ,augmented_rotation,train
data/raw/augmented/urdu_0232_aug2_blur.png,مؤتمر عالم اسلامی کے رکن ممالک,augmented_blur,train
data/raw/augmented/urdu_0185_aug3_rotation.png,قومی لباس - شلوار قمیض، جناح کیپ، شیروانی (سردیوں میں),augmented_rotation,train
data/raw/augmented/urdu_0237_aug3_rotation.png,(ڈاکٹر آفتاب اصغر، مقدمہ تاریخ مبارک شاہی,augmented_rotation,train
data/raw/synthetic/urdu_0121.png,تقريباً ایک فيصد پاکستانی ہندو اور اتنے ہی پاکستانی مسیحی مذہب سے تعلق رکھتے ہيں,synthetic,train
data/raw/signboards/sign_046.png,پاکستان کے 96,signboards_synthetic,train
