image,text,source,split
data/raw/other/utrset_013.jpg,برنارڈشا نے دو باتیں لکھی ہین جن سے اس خیال کو تقویت پہنچتی ہے کہ,utrset_real,train
data/raw/augmented/urdu_043_aug2_rotation.png,قرآن مجید مسلمانوں کی مقدس کتاب ہے,augmented_rotation,train
data/raw/augmented/urdu_008_aug2_blur.png,ہمت مرداں مدد خدا,augmented_blur,train
data/raw/augmented/urdu_020_aug1_rotation.png,کمپیوٹر نے انسانی زندگی آسان کر دی ہے,augmented_rotation,train
data/raw/augmented/urdu_039_aug1_rotation.png,سولر انرجی ماحول دوست توانائی ہے,augmented_rotation,train
data/raw/augmented/urdu_015_aug1_blur.png,کے ٹو دنیا کی دوسری بلند ترین چوٹی ہے,augmented_blur,train
/content/data/raw/newspaper/Screenshot 2026-07-01 151408.png,یہاں اصل متن لکھیں,manual_screenshot,train
data/raw/augmented/urdu_049_aug1_blur.png,یہاں پارکنگ منع ہے,augmented_blur,train
data/raw/augmented/urdu_010_aug1_brightness.png,سچائی بہترین پالیسی ہے,augmented_brightness,train
data/raw/other/utrset_010.jpg,احساس کا نتیجہ ہے کہ شیکسپیر کے ابتدائی ڈراموں کے متعلق مبصروں نے,utrset_real,train
data/raw/augmented/urdu_032_aug2_rotation.png,پھل اور سبزیاں صحت کے لیے ضروری ہیں,augmented_rotation,train
data/raw/other/utrset_009.jpg,کے حسن کو بھی ڈرامائی فن کے لازمی عناصر میں سے ایک جانا اور اسی ادبی,utrset_real,train
data/raw/augmented/urdu_008_aug1_brightness.png,ہمت مرداں مدد خدا,augmented_brightness,train
data/raw/synthetic/urdu_017.png,سائنس نے دنیا کو بدل دیا ہے,synthetic,train
data/raw/other/utrset_052.jpg,اس لئے ان کے ڈراموں نے ڈرامے کی قدرون کو زندہ رکھا ہے۔,utrset_real,train
data/raw/synthetic/urdu_034.png,ورزش کو روزانہ کا معمول بنائیں,synthetic,train
data/raw/augmented/urdu_027_aug2_blur.png,اردو ادب کی تاریخ بہت پرانی ہے,augmented_blur,train
data/raw/synthetic/urdu_039.png,سولر انرجی ماحول دوست توانائی ہے,synthetic,train
data/raw/other/utrset_056.jpg,روزمرہ کے لغوی مفہوم مین گہرے اور لطیف معانی اور,utrset_real,train
data/raw/other/utrset_029.jpg,حیثیت اس کی طرف سے آنکھیں بند کرلی ہیں۔,utrset_real,train
data/raw/other/utrset_021.jpg,دوسری بات یہ کہ شیکسپیر کے ڈراموں کے مطالعے کے بعد سوائے,utrset_real,train
data/raw/augmented/urdu_014_aug1_rotation.png,دریائے سندھ پاکستان کا سب سے بڑا دریا ہے,augmented_rotation,train
data/raw/augmented/urdu_012_aug1_brightness.png,لاہور پاکستان کا دل ہے,augmented_brightness,train
data/raw/synthetic/urdu_040.png,ڈیجیٹل ادائیگی تیزی سے مقبول ہو رہی ہے,synthetic,train
data/raw/augmented/urdu_026_aug1_brightness.png,شعر و ادب کا سفر جاری ہے,augmented_brightness,train
/content/data/raw/newspaper/Screenshot 2026-07-01 181531.png,یہاں اصل متن لکھیں,manual_screenshot,train
data/raw/augmented/urdu_046_aug1_brightness.png,داخلہ ممنوع,augmented_brightness,train
data/raw/other/utrset_060.jpg,عام ڈراما نگاروں نے کردار، اور عمل ، کو مقصود بالذات بناکر,utrset_real,train
data/raw/other/utrset_036.jpg,ہم بحیثیت مجموعی ادبی تخلیق کے عمل کا تجزیہ کریں تو اس نتیجے پر پہنچتے ہیں,utrset_real,train
data/raw/synthetic/urdu_046.png,داخلہ ممنوع,synthetic,train
data/raw/synthetic/urdu_029.png,اقبال کا کلام آج بھی متعلق ہے,synthetic,train
